latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.6727,150.8067,340.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,86,6.03,306.6,58.9,D,0
-32.6618,150.808,328.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,67,6.03,306.8,29,D,0
-32.66,150.7916,340.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,85,6.03,307.8,57,D,0
-32.6492,150.7934,329,1.5,1.2,2019-12-29,0025,Terra,MODIS,58,6.03,307.5,28.3,D,0
-32.6475,150.7772,344.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,89,6.03,309.1,70.2,D,0
-32.6458,150.761,328.2,1.5,1.2,2019-12-29,0025,Terra,MODIS,54,6.03,308.1,24.9,D,0
-32.6349,150.7629,323.9,1.5,1.2,2019-12-29,0025,Terra,MODIS,20,6.03,307.4,16.2,D,0
-32.6005,150.4381,325,1.4,1.2,2019-12-29,0025,Terra,MODIS,19,6.03,308.2,14.4,D,0
-32.5989,150.423,330,1.4,1.2,2019-12-29,0025,Terra,MODIS,49,6.03,308.7,23.9,D,0
-32.5973,150.4079,331.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,45,6.03,308.8,25.7,D,0
-32.5794,150.2428,334.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,31,6.03,309,33.1,D,0
-32.6458,150.7844,341.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,85,6.03,308.7,59.9,D,0
-32.644,150.7681,337.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,81,6.03,308.4,46.9,D,0
-32.6041,150.4133,331.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,57,6.03,309.3,26.5,D,0
-37.3275,148.5204,314.4,1.3,1.1,2019-12-29,0026,Terra,MODIS,48,6.03,281.3,13.2,D,0
-37.4104,147.7419,329,1.2,1.1,2019-12-29,0026,Terra,MODIS,71,6.03,292,29.5,D,0
-37.5953,149.4213,334.3,1.4,1.2,2019-12-29,0026,Terra,MODIS,87,6.03,294.3,52.6,D,0
-37.5969,149.4375,321.3,1.4,1.2,2019-12-29,0026,Terra,MODIS,65,6.03,294.6,26.3,D,0
-37.4202,147.7402,331.4,1.2,1.1,2019-12-29,0026,Terra,MODIS,0,6.03,289.5,33.5,D,0
-37.4834,147.9345,313.8,1.2,1.1,2019-12-29,0026,Terra,MODIS,31,6.03,294.5,7.5,D,0
-37.4886,147.8933,333.8,1.2,1.1,2019-12-29,0026,Terra,MODIS,78,6.03,298.7,31.4,D,0
-37.4901,147.9064,334.9,1.2,1.1,2019-12-29,0026,Terra,MODIS,85,6.03,298,35,D,0
-37.4917,147.9198,330.5,1.2,1.1,2019-12-29,0026,Terra,MODIS,83,6.03,298.4,29,D,0
-37.4969,147.8789,333.3,1.2,1.1,2019-12-29,0026,Terra,MODIS,71,6.03,299.9,28.4,D,0
